OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0F
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D8, size 1, value 0x28
OUT port 0x03D9, size 1, value 0x30
IN  port 0x0062, size 1, value 0x2D
OUT port 0x0061, size 1, value 0xA9
IN  port 0x0062, size 1, value 0x26
OUT port 0x03D8, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x00
OUT port 0x03D5, size 1, value 0x71
OUT port 0x03D4, size 1, value 0x01
OUT port 0x03D5, size 1, value 0x50
OUT port 0x03D4, size 1, value 0x02
OUT port 0x03D5, size 1, value 0x5A
OUT port 0x03D4, size 1, value 0x03
OUT port 0x03D5, size 1, value 0x0A
OUT port 0x03D4, size 1, value 0x04
OUT port 0x03D5, size 1, value 0x1F
OUT port 0x03D4, size 1, value 0x05
OUT port 0x03D5, size 1, value 0x06
OUT port 0x03D4, size 1, value 0x06
OUT port 0x03D5, size 1, value 0x19
OUT port 0x03D4, size 1, value 0x07
OUT port 0x03D5, size 1, value 0x1C
OUT port 0x03D4, size 1, value 0x08
OUT port 0x03D5, size 1, value 0x02
OUT port 0x03D4, size 1, value 0x09
OUT port 0x03D5, size 1, value 0x07
OUT port 0x03D4, size 1, value 0x0A
OUT port 0x03D5, size 1, value 0x06
OUT port 0x03D4, size 1, value 0x0B
OUT port 0x03D5, size 1, value 0x07
OUT port 0x03D4, size 1, value 0x0C
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0D
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0E
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0F
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D8, size 1, value 0x29
OUT port 0x03D9, size 1, value 0x30
OUT port 0x03D8, size 1, value 0x00
IN  port 0x0061, size 1, value 0xA9
OUT port 0x0061, size 1, value 0xB9
OUT port 0x0061, size 1, value 0x89
IN  port 0x0062, size 1, value 0x26
IN  port 0x0062, size 1, value 0x26
IN  port 0x0062, size 1, value 0x26
OUT port 0x03D8, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x00
OUT port 0x03D5, size 1, value 0x71
OUT port 0x03D4, size 1, value 0x01
OUT port 0x03D5, size 1, value 0x50
OUT port 0x03D4, size 1, value 0x02
OUT port 0x03D5, size 1, value 0x5A
OUT port 0x03D4, size 1, value 0x03
OUT port 0x03D5, size 1, value 0x0A
OUT port 0x03D4, size 1, value 0x04
OUT port 0x03D5, size 1, value 0x1F
OUT port 0x03D4, size 1, value 0x05
OUT port 0x03D5, size 1, value 0x06
OUT port 0x03D4, size 1, value 0x06
OUT port 0x03D5, size 1, value 0x19
OUT port 0x03D4, size 1, value 0x07
OUT port 0x03D5, size 1, value 0x1C
OUT port 0x03D4, size 1, value 0x08
OUT port 0x03D5, size 1, value 0x02
OUT port 0x03D4, size 1, value 0x09
OUT port 0x03D5, size 1, value 0x07
OUT port 0x03D4, size 1, value 0x0A
OUT port 0x03D5, size 1, value 0x06
OUT port 0x03D4, size 1, value 0x0B
OUT port 0x03D5, size 1, value 0x07
OUT port 0x03D4, size 1, value 0x0C
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0D
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0E
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D4, size 1, value 0x0F
OUT port 0x03D5, size 1, value 0x00
OUT port 0x03D8, size 1, value 0x29
OUT port 0x03D9, size 1, value 0x30
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x01
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
IN  port 0x03DA, size 1, value 0x00
